word,label,x,y
evaluacion,-1,0.089997925,7.380292
fa,0,2.8533635,2.2187536
hta,1,-0.05890133,7.7148175
funcion,0,4.5663023,1.8280978
ventricular,0,4.092845,4.8079762
izquierdo,-1,1.0827285,4.692407
normal,0,4.4095573,1.8623958
vd,0,2.5526037,3.7619245
disminuir,-1,1.4141358,4.2291327
tapse,0,4.1128135,1.7266083
hap,0,3.2316155,2.227821
milímetro,0,3.8308945,2.570117
hectogramo,0,3.471331,2.0938387
insuficienciamitral,0,3.9659388,2.565975
levar,0,4.200346,1.817396
valvula,0,4.153861,1.9805464
aortica,0,4.0569744,2.27863
calcificacion,0,3.6652105,2.9387755
anillar,0,4.1982427,1.911001
mitral,0,4.038313,2.3143766
cardiaco,1,-0.053672772,7.784748
anomalias,-1,1.9535962,4.452391
valvular,-1,4.02182,3.074677
asociar,-1,7.724655,3.4543993
significativo,0,6.0082526,3.9478948
foto,-1,10.375321,7.1208477
insuficiencia,0,4.1803193,1.8199021
tricuspidea,0,4.302675,1.779034
alteracion,0,2.1587605,4.248791
diastolica,-1,1.5950347,4.03823
derramar,0,5.388857,4.113656
pericardico,-1,5.7054863,4.4548926
posterior,0,3.4334595,3.0801313
ligero,0,4.3807297,2.0145948
ecocardiograma,-1,1.7904854,5.1197257
doppler,0,4.5417924,1.7886698
estenosisaortica,0,5.242391,3.7311246
hipertrofiar,0,2.368411,4.3296924
concentrica,-1,4.1092567,1.7145067
dato,0,2.6170366,3.622536
estenosis,0,4.159683,1.9770762
severo,0,4.2691307,2.4102526
ava,-1,3.0038736,3.1012316
centímetro,0,3.6110723,2.9479754
ademar,-1,7.10319,5.5690575
objetivo,0,3.216807,3.4669743
gradiente,-1,2.9592147,3.1031594
patron,0,3.2653105,2.4116597
llenar,-1,1.939443,4.053476
no,-1,7.4157124,3.7300317
visualizar,0,3.7215848,3.4233692
tricuspide,0,4.084268,2.0102167
relaccion,-1,10.494586,7.744401
noto,-1,1.7311246,5.843461
paciente,1,0.1760539,7.601619
seguir,-1,1.4760377,6.2415123
cardiologia,-1,0.8231727,6.6212006
fevi,-1,1.4900279,4.0888968
insuficienciaaortica,0,4.1680355,2.5313594
estenosisasociada,-1,4.8671436,2.1589863
apertura,0,3.7425506,2.607575
ins,-1,0.8593877,8.896116
nan,-1,10.984205,4.7017817
practicamente,0,4.620793,3.7798598
dilatacion,0,4.216296,2.4579484
raiz,0,4.43315,1.8691684
imagen,0,2.9467437,4.6315684
sugerente,0,2.4238746,4.459594
vegetación,0,3.6415243,3.8150043
tricupide,-1,7.6136613,2.7266066
medir,0,2.8900974,3.9593103
tratar,1,0.10052157,7.8253517
gradar,0,4.007468,2.1756032
moderar,0,4.1447225,1.9972559
orar,0,3.4963682,3.046639
vena,-1,2.8702652,3.1999047
contracta,0,3.7682843,2.34551
indice,0,4.016543,3.9230359
masa,-1,3.308393,6.5526323
ver,0,1.9066465,4.512745
gramo,-1,2.617979,9.720434
metro,0,2.9883933,3.4966114
ai,0,4.3257456,2.7542436
lece,-1,10.402611,4.4334373
seguimiento,-1,0.45426202,8.557046
valvulopatia,-1,1.1530262,8.881315
doblar,-1,5.033923,2.1563659
lesion,0,4.225387,2.160173
ambos,0,4.18729,2.1903882
afectacion,0,3.2146437,4.460497
reumatica,-1,4.8732452,2.5909348
llamativo,-1,5.027162,6.4820695
ligeramente,0,4.46351,1.8821219
d,0,3.7350335,4.957715
derecho,0,4.458865,1.8729352
valoracion,1,1.0717089,7.127076
existencia,-1,1.9244189,4.615952
trombo,0,2.9426794,4.4334373
orejuela,0,2.8072019,2.0696597
estudiar,-1,0.73827064,5.05344
trastoracico,-1,8.912537,6.941894
regular,-1,0.63736266,5.2260227
calidad,-1,0.8679034,4.905744
ventana,-1,1.433502,4.4612556
ecocardiografica,-1,-0.30568805,7.664848
suboptima,-1,-0.15899819,7.852373
trasesofagico,2,4.070519,9.480416
tolerancia,-1,3.0044951,5.331623
ventriculo,-1,4.401474,1.7505063
dilatar,0,4.581969,1.9540216
sistolica,-1,1.5196381,4.0616584
limitar,-1,0.78792137,4.9215055
normalidad,0,4.0799127,1.72966
fe,-1,2.4209576,5.43171
ete,-1,0.747445,6.813093
hipocinesia,-1,4.2828336,2.4668295
marcar,0,3.711344,4.9520516
septal,-1,2.0957317,4.1198263
acinesia,0,3.9604654,2.8993545
región,-1,7.0557885,7.199394
basal,0,2.7608125,3.5558012
restar,-1,8.312125,3.6414413
segmento,0,2.1829538,4.2105684
conservar,0,4.534103,2.0020072
aoritca,3,8.70436,2.8766935
mtiral,-1,8.07008,2.8572254
minima,0,4.2137704,1.8110126
t,-1,2.0684347,6.3034053
aceleracion,0,2.423603,3.5939949
flujo,-1,4.092114,2.5913215
pulmoanr,-1,8.27469,3.3776348
auricula,0,4.045358,1.960276
espaciar,0,3.320941,5.233508
movimiento,0,3.2784843,3.3169012
anormal,-1,2.0822377,4.061152
septo,-1,1.486705,4.2172084
brihh,-1,1.0720067,5.209794
asincronia,-1,0.77025574,5.3105745
intraventricular,0,2.6456804,3.73747
retrasar,0,4.1698375,4.1648846
mecanico,-1,4.234929,8.796623
interventricular,0,2.7459593,3.5468671
moderadamente,0,4.550676,1.7825162
relacion,0,3.7550719,4.0155954
jet,0,3.4376607,3.0486224
color,0,3.0381584,3.3751566
area,0,3.8258092,2.2723246
modificacion,2,5.435884,9.26549
pulmonar,0,4.448814,1.7425143
pisar,0,2.9423485,3.2837038
gravar,-1,4.7428327,2.9161081
prolapso,0,3.5690043,3.019736
tricuspideo,-1,3.5877697,1.9938679
parace,0,4.5678167,4.3349476
velar,0,3.661239,3.0815635
cardiopatia,-1,-0.18720512,7.796183
congenita,-1,5.6332116,7.1772494
cia,0,3.5411048,4.7586126
tipo,0,2.919723,3.390361
op,-1,4.8736787,8.3502865
hendidura,0,3.5511656,3.5741937
